Time,motor,mtrctrl,Volt,Therm_Before_Rad,Therm_After_Rad
19.5,,,,22.495999,22.178923
19.7,,,,22.518501,22.156126
19.9,,,,22.495999,22.337942
20.1,,,,22.495999,22.224455
20.3,,,,22.495999,22.337942
20.5,,,,22.495999,22.269909
20.7,,,,22.473478,22.292606
20.9,,,,22.495999,22.156126
21.1,,,,22.473478,22.269909
21.3,,,,22.518501,22.178923
21.5,,,,22.473478,22.156126
21.7,,,,22.495999,22.064744
21.9,,,,22.495999,22.156126
22.1,,,,22.36058,22.224455
22.3,,,,22.473478,22.156126
22.5,,,,22.473478,22.247192
22.7,,,,22.473478,22.178923
22.9,,,,22.495999,22.36058
23.1,,,,22.473478,22.224455
23.3,,,,22.495999,22.337942
23.5,,,,22.540983,22.292606
23.7,,,,22.540983,22.110475
23.9,,,,22.518501,22.224455
24.1,,,,22.540983,22.224455
