Time,MT,MCT,Volt
1.0,82,100.9251,385
1.1,92,111.9198,367
1.2,97,99.7528,466
1.3,84,100.79,313
1.4,81,100.0237,361
1.5,79,120.4831,464
1.6,82,95.4951,375
1.7,97,124.9761,421
1.8,100,114.8718,401
1.9,81,101.1304,309
2.0,89,103.339,365
2.1,85,118.7148,434
2.2,81,126.1683,473
2.3,74,102.4581,415
2.4,83,126.7136,374
2.5,80,100.2913,398
2.6,83,104.8919,382
2.7,74,105.2006,341
2.8,97,127.1851,336
2.9,105,111.103,500
3.0,78,101.7454,337
3.1,90,125.4143,486
3.2,104,120.9569,417
3.3,81,120.5181,490
3.4,86,117.9248,414
3.5,83,110.9469,472
3.6,96,123.0857,467
3.7,109,120.277,453
3.8,101,100.8672,457
3.9,103,106.221,466
4.0,100,104.728,458
4.1,86,115.2962,472
4.2,72,95.2168,342
4.3,107,94.021,334
4.4,101,112.8578,488
4.5,77,108.4911,407
4.6,85,127.6656,306
4.7,81,124.02,458
4.8,97,92.1743,454
4.9,110,113.2347,411
5.0,76,129.489,491
5.1,84,110.5023,423
5.2,110,99.1593,438
5.3,94,115.5975,316
5.4,98,93.2005,370
5.5,74,97.2939,426
5.6,102,,323
5.676867,,107.4295,
5.7,88,96.024,323
5.8,92,91.872,321
5.9,71,121.8671,378
10.112312312312,50,,
